골드마운틴,한(포),거,2012/03/03,6,국2,15,박희철,이미경,SUMMER BIRD,프라이빗부트,46,7,3,12,0,0,414750000,72,0
골드뮤직,한,거,2013/05/08,5,국1,19,곽영효,이미경,엑스플로잇,스트리트골드,26,6,7,10,2,3,429600000,93,0
골드블루매직,호,암,2015/10/13,3,외4,24,서홍수,황철연,BERNARDINI,FEMME LIBERTE,2,0,0,2,0,0,0,39,0
골드스타힐스,한,암,2014/03/19,4,국5,99,휴양마,서운석,캐피털스팬딩,러브리메모리즈,24,2,1,8,0,0,86400000,34,0
골드스탁,한,암,2014/04/10,4,국5,20,배대선,이수홍,피스룰즈,장자강,24,0,0,12,0,0,21420000,25,0
골드스트리트,한,암,2015/02/20,3,국6,19,곽영효,이효선,윈체스터,실버스트리스,10,0,0,10,0,0,7920000,0,0
골드시나,한,암,2014/05/09,4,국4,24,서홍수,허도행,와이와이와이,보니비,16,2,3,8,1,0,77600000,41,0
골드캡틴,한,거,2016/03/17,2,국미,37,심승태,김은갑,샤프휴머,신흥여장,0,0,0,0,0,0,0,0,0
골드코인,한,암,2015/04/20,3,국6,12,서범석,(주)늘푸른목장,스트롬버그칼슨,오이세이,0,0,0,0,0,0,0,0,0
골드파크,한(포),암,2016/05/06,2,국미,52,김동균,김은갑,LOUIS QUATORZE,포우수,0,0,0,0,0,0,0,0,0
골드파티,한(포),암,2016/02/08,2,국6,99,휴양마,박정재,GEMOLOGIST,차이나골드,3,0,0,3,0,0,7800000,0,0
골드패션,한,암,2013/02/28,5,국3,19,곽영효,윤훈열,시에로골드,하이패션부츠,38,4,2,10,0,1,182100000,51,0
골드페릴라,한,수,2016/05/02,2,국6,49,지용철,임수복,오피서,미러클라이트,3,0,0,3,0,0,0,0,0
골드해머,호,수,2015/09/26,3,외4,40,송문길,(주)나스카,ROMAN EMPEROR,NORDICE,4,0,0,4,0,0,39000000,46,0
골드호라,미,암,2012/04/28,6,외3,99,휴양마,김종욱,BROTHER DEREK,HORAH,40,1,4,8,0,0,179250000,59,0
골드히어로,한,암,2016/05/25,2,국미,19,곽영효,퓨리나코리아,티즈원더풀,기쁨누리,0,0,0,0,0,0,0,0,0
골든게이트,한,거,2014/05/02,4,국2,05,우창구,이보원,샤프휴머,신천여걸,18,5,5,8,1,2,293100000,74,0
골든다이얼,미,수,2016/04/09,2,외4,53,김동철,남기태,DIALED IN,KATISPSUBLUE,2,0,0,2,0,0,6750000,40,0
골든블랙,미,거,2015/04/22,3,외3,33,서인석,유영준,SPRING AT LAST,THEREGOESMSAMERICA,9,1,2,9,1,2,88050000,56,0
골든스카이,한,암,2015/04/11,3,국6,12,서범석,무라카미 켄세이,엑스플로잇,벌라이언트퀸,8,0,0,7,0,0,0,0,0
