Date,Open,High,Low,Close,Volume
2010-01-04,16060,16180,16000,16180,11950800
2010-01-05,16520,16580,16300,16440,27925850
2010-01-06,16580,16820,16520,16820,22948850
2010-01-07,16820,16820,16260,16260,22107950
2010-01-08,16400,16420,16120,16420,14777550
2010-01-11,16420,16460,15940,15940,19896100
2010-01-12,15940,16180,15900,16180,19218050
2010-01-13,16100,16120,15940,15940,13375300
2010-01-14,16120,16620,16000,16540,26551550
2010-01-15,16640,16860,16580,16840,19905600
2010-01-18,16800,16920,16560,16860,13060400
2010-01-19,17000,17000,16440,16460,12041250
2010-01-20,16460,16740,16460,16680,19200850
2010-01-21,16400,17000,16400,17000,16990100
2010-01-22,16800,16900,16360,16500,23460500
2010-01-25,16320,16960,16300,16840,20578400
2010-01-26,16920,16920,16240,16300,18722300
2010-01-27,16300,16340,16000,16000,18516150
2010-01-28,16160,16300,16060,16160,13795800
2010-01-29,16000,16020,15600,15680,22854100
2010-02-01,15680,15700,15300,15540,25037200
2010-02-02,15800,15800,15400,15440,19677150
2010-02-03,15640,15700,15360,15540,16467700
2010-02-04,15500,15660,15440,15520,11971700
2010-02-05,15160,15220,14940,15000,25705750
2010-02-08,14940,15080,14820,14960,21891500
2010-02-09,14960,15220,14840,15220,16834200
2010-02-10,15260,15280,15040,15100,13174200
2010-02-11,15140,15300,15120,15260,13208300
2010-02-12,15340,15340,14900,15000,22879300
2010-02-16,15000,15180,14960,15120,7723550
2010-02-17,15440,15580,15280,15580,13997150
2010-02-18,15580,15620,15440,15500,7251900
2010-02-19,15380,15540,15180,15200,11094000
2010-02-22,15440,15560,15400,15460,11580550
2010-02-23,15480,15480,15120,15340,12568850
2010-02-24,15180,15220,15000,15040,15052500
2010-02-25,15080,15160,14680,14720,19273900
2010-02-26,14800,14960,14660,14880,15576350
2010-03-02,15220,15480,15120,15400,23494700
2010-03-03,15420,15460,15260,15420,9713550
2010-03-04,15420,15440,15120,15220,10205050
2010-03-05,15260,15500,15260,15500,11754700
2010-03-08,15800,15840,15700,15720,19563300
2010-03-09,15740,15740,15540,15720,12211750
2010-03-10,15720,15740,15560,15680,11367600
2010-03-11,15800,15880,15560,15560,19631000
2010-03-12,15560,15680,15420,15560,9997950
2010-03-15,15640,15660,15280,15360,11156550
2010-03-16,15360,15400,15160,15300,16548150
2010-03-17,15440,15960,15420,15960,21840650
2010-03-18,15900,16140,15900,15940,15393500
2010-03-19,16020,16140,15960,16080,10711200
2010-03-22,16060,16080,15840,16020,9191800
2010-03-23,16140,16300,16100,16180,9923300
2010-03-24,16300,16500,16260,16380,15926950
2010-03-25,16300,16440,16180,16380,9481650
2010-03-26,16460,16500,16240,16400,10481650
2010-03-29,16200,16500,16200,16360,7756350
2010-03-30,16540,16580,16240,16280,12042400
2010-03-31,16280,16680,16260,16360,21699800
2010-04-01,16520,16900,16480,16900,28068050
2010-04-02,16920,17200,16820,17140,20907050
2010-04-05,17220,17400,17140,17400,15201700
2010-04-06,17480,17500,17220,17380,16494250
2010-04-07,17300,17380,17040,17180,19418550
2010-04-08,17140,17260,17060,17260,13447700
2010-04-09,17280,17320,16960,17120,13757650
2010-04-12,17180,17200,16540,16600,24897000
2010-04-13,16680,16680,16300,16560,20446350
2010-04-14,16700,16940,16660,16900,15369350
2010-04-15,17240,17240,16880,17100,18248400
2010-04-16,17100,17160,16820,16960,11003100
2010-04-19,16740,16800,16520,16540,12357100
2010-04-20,16540,16640,16420,16560,13571500
2010-04-21,16760,17060,16700,17040,13200200
2010-04-22,16980,16980,16660,16820,17161750
2010-04-23,16960,16960,16560,16600,15442000
2010-04-26,16700,16840,16600,16680,13009350
2010-04-27,16620,16760,16540,16700,13040500
2010-04-28,16400,16500,16360,16500,16007500
2010-04-29,16600,16620,16320,16500,11337150
2010-04-30,16560,17040,16540,16980,22710850
2010-05-03,16900,16900,16540,16580,14553900
2010-05-04,16800,16860,16600,16680,9138450
2010-05-06,16340,16380,16200,16280,22570150
2010-05-07,15960,15980,15760,15880,37887000
2010-05-10,16000,16100,15940,16060,16435550
2010-05-11,16240,16240,15820,15820,22498000
2010-05-12,15940,15960,15640,15780,15759500
2010-05-13,15960,16400,15940,16260,15900650
2010-05-14,16120,16240,15980,16200,14674300
2010-05-17,15960,15980,15560,15680,26460950
2010-05-18,15800,15900,15680,15840,18143800
2010-05-19,15700,15700,15380,15460,17987050
2010-05-20,15300,15440,15100,15120,19772500
2010-05-24,14940,15280,14880,15160,17704300
2010-05-25,15000,15120,14720,14820,25489550
2010-05-26,15200,15380,14900,15000,22943950
2010-05-27,14880,15500,14820,15440,22173500
2010-05-28,15740,15740,15340,15560,22448950
2010-05-31,15440,15620,15360,15520,12774650
2010-06-01,15520,15580,15300,15360,11382350
2010-06-03,15600,15680,15480,15540,14649400
2010-06-04,15500,15940,15480,15860,12598850
2010-06-07,15580,15740,15540,15740,15161550
2010-06-08,15700,15960,15520,15700,14499800
2010-06-09,15840,15840,15320,15400,17914950
2010-06-10,15540,15600,15420,15460,17769350
2010-06-11,15700,15940,15660,15940,18283050
2010-06-14,15820,16180,15820,16140,12094650
2010-06-15,16200,16200,15960,15960,9528550
2010-06-16,16300,16440,16180,16380,18823500
2010-06-17,16240,16340,16200,16340,11648800
2010-06-18,16500,16500,16240,16440,9579500
2010-06-21,16600,16780,16500,16600,14230700
2010-06-22,16540,16540,16260,16320,14794100
2010-06-23,16220,16220,16000,16100,17489950
2010-06-24,16160,16460,16100,16400,14152200
2010-06-25,16180,16200,16040,16100,16982600
2010-06-28,16100,16160,15920,15920,13026700
2010-06-29,16020,16080,15740,15840,12560000
2010-06-30,15400,15600,15400,15480,26708450
2010-07-01,15580,15600,15200,15320,22206400
2010-07-02,15400,15480,15260,15340,11641100
2010-07-05,15260,15400,15220,15340,9995600
2010-07-06,15240,15500,15100,15500,17879550
2010-07-07,15600,15620,15300,15380,16180150
2010-07-08,15660,15680,15400,15500,14752850
2010-07-09,15580,15920,15460,15920,18605950
2010-07-12,15980,16040,15840,16040,12597450
2010-07-13,15960,16160,15880,15920,15339650
2010-07-14,16260,16560,16260,16480,33184600
2010-07-15,16500,16500,16360,16400,16063950
2010-07-16,16320,16400,16040,16040,16933400
2010-07-19,15720,15980,15720,15900,14586800
2010-07-20,15900,16040,15720,15960,11578400
2010-07-21,16340,16360,16120,16340,16558800
2010-07-22,16240,16340,16020,16160,15439550
2010-07-23,16300,16340,16140,16220,14112800
2010-07-26,16260,16400,16180,16360,10617450
2010-07-27,16480,16600,16420,16580,19088350
2010-07-28,16640,16800,16620,16740,23248200
2010-07-29,16780,16800,16480,16540,14865300
2010-07-30,16440,16540,16200,16200,16399000
2010-08-02,16340,16360,16200,16200,12455050
2010-08-03,16400,16440,16300,16300,13105950
2010-08-04,16340,16360,16120,16120,10616650
2010-08-05,16220,16360,16060,16080,14028550
2010-08-06,16200,16200,15980,16020,12296750
2010-08-09,15980,16040,15960,16040,9138150
2010-08-10,16000,16080,15820,15860,14060850
2010-08-11,15680,15780,15540,15580,17957900
2010-08-12,15360,15540,15300,15320,21360650
2010-08-13,15400,15640,15340,15620,14274900
2010-08-16,15460,15660,15340,15640,10280000
2010-08-17,15540,15660,15420,15640,14476450
2010-08-18,15680,15700,15480,15560,11715900
2010-08-19,15580,15780,15540,15780,12179900
2010-08-20,15600,15720,15540,15680,12330600
2010-08-23,15720,15820,15640,15800,9081550
2010-08-24,15700,15720,15500,15660,11365400
2010-08-25,15520,15560,15440,15440,9263250
2010-08-26,15440,15660,15400,15460,10440100
2010-08-27,15300,15440,15300,15320,12748200
2010-08-30,15500,15560,15440,15520,6984450
2010-08-31,15320,15440,15120,15120,22051950
2010-09-01,15240,15260,15000,15040,19451700
2010-09-02,15200,15240,14980,15180,18271500
2010-09-03,15220,15280,15120,15220,22082500
2010-09-06,15440,15600,15360,15600,19708650
2010-09-07,15660,15800,15500,15760,16036000
2010-09-08,15520,15620,15420,15420,10954600
2010-09-09,15340,15480,15120,15120,30825400
2010-09-10,15200,15440,15140,15320,13989000
2010-09-13,15400,15520,15320,15400,11741050
2010-09-14,15500,15620,15200,15200,18559950
2010-09-15,15260,15340,15020,15140,19441850
2010-09-16,15080,15260,15080,15140,11734100
2010-09-17,15240,15560,15160,15460,22369300
2010-09-20,15480,15600,15400,15600,14807550
2010-09-24,15580,15600,15160,15240,32766800
2010-09-27,15300,15360,15040,15100,25107150
2010-09-28,15100,15120,14900,14900,23315700
2010-09-29,15060,15500,15000,15440,35348050
2010-09-30,15440,15580,15340,15540,16855500
2010-10-01,15440,15560,15380,15540,14805750
2010-10-04,15600,15620,15480,15600,12835350
2010-10-05,15440,15580,15420,15460,14300150
2010-10-06,15560,15880,15520,15860,23555150
2010-10-07,15580,15660,15380,15400,25542150
2010-10-08,15260,15320,15060,15160,27125750
2010-10-11,15240,15260,15060,15060,18784450
2010-10-12,15040,15120,14920,14920,18391350
2010-10-13,15040,15040,14860,14880,20414700
2010-10-14,15060,15060,14840,15000,26710000
2010-10-15,15000,15120,14900,15080,24686150
2010-10-18,15140,15240,14960,15020,13804400
2010-10-19,15000,15020,14820,14820,19450000
2010-10-20,14800,14980,14700,14900,18474100
2010-10-21,14900,15300,14820,15300,28370400
2010-10-22,15460,15540,15340,15540,20425550
2010-10-25,15460,15580,15340,15420,12353450
2010-10-26,15360,15420,15160,15260,15629050
2010-10-27,15160,15300,15020,15060,16732750
2010-10-28,15200,15300,15060,15280,14631600
2010-10-29,15280,15300,14900,14900,23060950
