골드스트리트,한,암,2015/02/20,3,국6,19,곽영효,이효선,윈체스터,실버스트리스,4,0,0,4,0,0,3600000,0,0
골드시나,한,암,2014/05/09,4,국4,24,서홍수,허도행,와이와이와이,보니비,13,2,3,8,1,2,77600000,44,0
골드코인,한,암,2015/04/20,3,국미,21,임봉춘,(주)늘푸른목장,스트롬버그칼슨,오이세이,0,0,0,0,0,0,0,0,0
골드파티,한(포),암,2016/02/08,2,국미,40,송문길,박정재,GEMOLOGIST,차이나골드,0,0,0,0,0,0,0,0,0
골드패션,한,암,2013/02/28,5,국4,19,곽영효,윤훈열,시에로골드,하이패션부츠,31,4,1,11,1,1,158700000,47,0
골드호라,미,암,2012/04/28,6,외3,99,휴양마,김종욱,BROTHER DEREK,HORAH,35,1,4,8,0,2,169350000,63,0
골든게이트,한,거,2014/05/02,4,국2,05,우창구,이보원,샤프휴머,신천여걸,17,5,5,10,3,3,293100000,74,0
골든미니스터,한,수,2015/03/18,3,국6,53,김동철,(주)녹원목장,포리스트캠프,어라우저,0,0,0,0,0,0,0,0,0
골든블랙,미,거,2015/04/22,3,외3,33,서인석,유영준,SPRING AT LAST,THEREGOESMSAMERICA,2,1,1,2,1,1,46800000,52,0
골든스카이,한,암,2015/04/11,3,국6,99,휴양마,무라카미 켄세이,엑스플로잇,벌라이언트퀸,3,0,0,3,0,0,0,0,0
골든스텝,한,거,2014/05/02,4,국3,08,최용구,송용만,니혼필로닐,리터러리라이트,13,3,3,8,2,1,104540000,51,0
골든스파크,한,암,2015/05/09,3,국미,05,우창구,우동희,사이먼퓨어,제이슨즈젬,0,0,0,0,0,0,0,0,0
골든웨딩,한,암,2015/05/10,3,국6,48,김대근,박성식,탐라에이스,팜프린세스,6,0,0,6,0,0,3120000,0,0
공산,한,암,2015/04/10,3,국6,44,김학수,이혜란,테스타마타,아르누보,2,0,0,2,0,0,3120000,0,0
공주사랑,한,암,2015/03/05,3,국5,52,김동균,최임규,선더모카신,별기,3,0,2,3,0,2,21000000,27,0
과속돌풍,한,암,2013/03/31,5,국5,19,곽영효,금악목장,볼포니,차차,25,2,2,12,0,0,89000000,31,0
과천공주,한(포),암,2016/03/07,2,국미,48,김대근,신상섭,CROSS TRAFFIC,리틀미스플러리,0,0,0,0,0,0,0,0,0
과천볼트,호,거,2014/10/17,4,외3,52,김동균,정기환,TOORAK TOFF,MARCIA PROBA,12,1,0,11,1,0,60000000,53,34010
과천비행,한,수,2013/05/04,5,국6,02,손영표,김재용,포리스트캠프,레이디디그니티,5,0,0,5,0,0,0,0,0
과천의함성,한(포),거,2014/02/04,4,국3,42,이관호,황의영,E Z'S GENTLEMAN,더캣,17,3,3,8,1,0,158400000,63,0
과천장사,한,거,2015/06/04,3,국6,25,전승규,정수남,엑스플로잇,엘치카,0,0,0,0,0,0,0,0,0
과천투혼,한,수,2014/04/14,4,국5,06,홍대유,고양진,피스룰즈,메이크마인미니,13,0,3,12,0,3,26120000,29,0
과천히어로,한,거,2015/04/27,3,국6,13,이희영,박충범,홍지,일보경천,3,0,0,3,0,0,0,0,29000
관악함성,미,거,2014/04/04,4,외4,42,이관호,황의영,BENNY THE BULL,ESKIMO MOM,14,0,0,10,0,0,16400000,36,0
광마힐,한,암,2014/03/01,4,국4,41,신삼영,안병렬,엑스플로잇,조이라이드,14,3,1,9,3,1,85560000,44,0
광복칠십,미,수,2013/04/20,5,외1,14,이신영,이수홍,BLUEGRASS CAT,FILLIE BY THE BAY,19,6,1,4,0,0,348350000,96,0
광야드림,한,수,2015/04/24,3,국6,25,전승규,부창클럽,광야제일,드림윙즈,1,0,0,1,0,0,0,0,0
광야불기둥,한,암,2014/02/27,4,국4,21,임봉춘,이종천,피스룰즈,미소수프,12,1,2,9,1,2,57000000,40,0
광야폴리스,한,거,2014/05/08,4,국6,39,허재영,홍종운,맘보트레인,라피네,11,0,0,10,0,0,12360000,0,0
광폭주행,한,거,2015/03/07,3,국6,99,휴양마,유희태,와이와이와이,메니체리,2,0,0,2,0,0,0,0,0
구름손짓해,한,거,2015/05/03,3,국5,99,휴양마,김제영,포리스트캠프,스타어브아바,6,0,3,6,0,3,31800000,30,90000
구통사,한(포),거,2014/02/11,4,국2,25,전승규,소태영,SPRING AT LAST,로열치어,13,5,1,10,4,1,204150000,77,0
굳세어라,한,암,2015/02/05,3,국6,21,임봉춘,피닉스,인그란디어,북해의별,2,0,0,2,0,0,0,0,0
굴참나무숲,한,암,2015/04/28,3,국5,33,서인석,이종욱,캐피털스팬딩,멋진그녀,2,1,0,2,1,0,24800000,29,0
굿마운트,한,수,2015/02/25,3,국미,37,심승태,김지훈,스트라이크어게인,마운트아부,0,0,0,0,0,0,0,0,0
굿초이스,한,수,2015/05/28,3,국6,99,휴양마,박남성,테스타마타,촐룰라캣,6,0,0,6,0,0,3840000,0,0
굿헤니,미,수,2014/05/09,4,외2,13,이희영,세계건설(주),HENNY HUGHES,CRAFTY GETAWAY,11,3,1,9,3,1,140100000,70,0
그날까지,미,거,2014/02/28,4,외3,27,박병일,이관형,MACLEAN'S MUSIC,QUEENIE CAT,7,1,0,7,1,0,42600000,51,0
그랜드돌풍,한,수,2015/05/20,3,국6,99,휴양마,최현기,한센,그랜드보닛,4,0,0,4,0,0,1600000,0,30000
그레이삭스,한(포),암,2014/02/05,4,국3,14,이신영,김창식,PROUD CITIZEN,그리제일,11,3,1,5,1,1,218200000,54,0
그레이스시티,미,수,2014/03/25,4,외2,22,안병기,이수근,PROUD CITIZEN,GRACIOUS SAKES,11,3,1,5,2,0,155850000,72,33000
그레이트조이,미,거,2013/03/27,5,외3,13,이희영,김종욱,CITY ZIP,NEFARIOUS,17,0,4,9,0,2,95900000,57,0
그린케이,한,암,2015/02/18,3,국3,06,홍대유,김재영b,채플로열,허드잇비포,5,3,1,5,3,1,106950000,52,0
그린티,한,암,2014/04/07,4,국6,14,이신영,마에다 사토시,와이와이와이,스위트콜레타,10,0,0,10,0,0,2560000,0,0
그린파크,한,암,2015/04/11,3,국미,21,임봉춘,지대섭,엑톤파크,보스턴그린,0,0,0,0,0,0,0,0,0
글로리번,한,암,2015/03/28,3,국6,10,정호익,정범성,록하드텐,와이번,5,0,0,5,0,0,1600000,0,0
글로벌뉴스,한,수,2015/05/09,3,국5,28,최상식,장재형,한센,스트링밴드,3,1,1,3,1,1,35400000,32,0
글로벌드림,한,거,2014/04/13,4,국2,28,최상식,장재형,록하드텐,새로운가문,12,5,0,9,3,0,196400000,68,0
글로벌라인,한,수,2015/05/25,3,국3,28,최상식,장재형,록하드텐,스틸홈,6,3,1,6,3,1,106950000,61,0
글로벌뱅크,한,수,2015/05/16,3,국3,28,최상식,장재형,선더모카신,이스트햄튼,7,2,3,7,2,3,126350000,54,0
글로벌퀸,한,암,2014/03/16,4,국5,28,최상식,장재형,엑스플로잇,남도명장,2,1,1,2,1,1,42000000,33,0
글로벌킹덤,한,수,2015/03/21,3,국6,99,휴양마,손병현,리미트리스비드,인디언호퍼,2,0,0,2,0,0,0,0,0
글로벌퓨전,한,거,2009/04/04,9,국1,28,최상식,장재형,메니피,모닝레드스카이,52,8,4,8,0,0,763832000,91,0
금강제국,한,수,2012/02/28,6,국2,99,휴양마,이기훈,포트스톡턴,행운듬뿍,18,5,2,5,1,0,189550000,67,0
금강천하,한,암,2013/03/22,5,국4,27,박병일,고광숙,와이와이와이,위시미석세스,21,2,1,10,0,0,72200000,39,0
금곡성,한,암,2013/05/04,5,국4,12,서범석,오상철,사쿠라시킹,필잇나우,24,1,5,11,0,4,122400000,43,3000
금노아,미,수,2014/01/31,4,외4,41,신삼영,배태곤,MALIBU MOON,STORM'S DARLING,10,1,0,8,1,0,42000000,45,0
금비랑,한,수,2015/04/24,3,국4,27,박병일,배태곤,메니피,금비,5,2,1,5,2,1,54000000,40,0
금빛번개,미,거,2015/04/12,3,외4,99,휴양마,이창모,CHEROKEE'S BOY,MOTHERLY,3,0,0,3,0,0,0,41,0
금빛환향,한,암,2015/03/28,3,국6,49,지용철,최성룡,지금이순간,새아누리,9,0,0,9,0,0,2000000,0,0
금성가이,한,수,2015/04/11,3,국미,27,박병일,조창규,엑스플로잇,베씸,0,0,0,0,0,0,0,0,0
금성여왕,미,암,2015/04/23,3,외4,99,휴양마,조창규,GREAT NOTION,ASCOT SPARKLE,4,0,0,4,0,0,2400000,40,0
금소화,한,암,2013/04/16,5,국4,27,박병일,배태곤,포리스트캠프,싱그러운,15,2,3,10,1,1,96200000,46,0
금순유,한,수,2015/03/23,3,국4,99,휴양마,배태곤,엑톤파크,금순이,5,1,1,5,1,1,55600000,37,0
금아레이스,일,암,2015/02/19,3,외4,37,심승태,금아산업(주),NOVELLIST,RARE CLASSIC,0,0,0,0,0,0,0,42,194389
금아선더,한,암,2015/03/17,3,국5,20,배대선,금아산업(주),선더모카신,어서가,6,0,2,6,0,2,38600000,29,28000
금아어누이티,미,거,2015/05/08,3,외4,54,박천서,금아산업(주),YES IT'S TRUE,SWEET ANNUITY,1,0,0,1,0,0,0,42,67222
금아제우스,한,거,2013/04/07,5,국1,54,박천서,금아산업(주),와이와이와이,자벨라,18,7,1,8,4,1,299200000,84,58500
금아클리프,호,수,2014/10/29,4,외4,20,배대선,금아산업(주),CANFORD CLIFFS,ROYAL CELEBRITY,3,0,0,3,0,0,2400000,40,66981
금아팔콘,일,수,2015/01/25,3,외4,37,심승태,금아산업(주),SMART FALCON,쿨리스데프레이즈,1,0,0,1,0,0,3000000,42,283974
금아포르테,한(포),수,2014/03/19,4,국4,05,우창구,금아산업(주),GIACOMO,워터릴리,13,2,1,12,2,1,71280000,40,36000
금악여제,한,암,2014/01/23,4,국3,49,지용철,금악목장,메니피,에이피란스,6,4,1,4,2,1,151700000,57,0
금월,미,암,2015/04/11,3,외4,21,임봉춘,이동훈,STAY THIRSTY,HONEST NOW,1,0,0,1,0,0,0,42,0
금은주옥,한,암,2015/03/11,3,국4,22,안병기,박태훈,테스타마타,블랙섀도우,8,3,0,8,3,0,79290000,46,0
금투사,한,거,2014/02/25,4,국3,27,박병일,배태곤,래칸터,알찬우승,15,2,4,12,2,3,108920000,57,0
급행마,한,수,2016/03/13,2,국미,42,이관호,박남성,한센,캔들글로우,0,0,0,0,0,0,0,0,0
기가라이트,한,수,2015/03/10,3,국5,32,김윤섭,변갑한,스트라이크어게인,최대풍속,4,1,0,4,1,0,22800000,28,0
기동대장,한,거,2015/03/20,3,국4,22,안병기,박남성,테스타마타,스트리트어브피스,8,2,0,8,2,0,46000000,41,0
기모아런치,한,거,2013/02/15,5,국4,99,휴양마,박상선,오피서,기모아,17,1,3,8,0,1,69500000,38,0
까칠한공주,한,암,2014/03/10,4,국4,03,최영주,김근영,샤프휴머,루나콜로니,10,1,2,8,1,2,30800000,37,0
끌어주는손,한,암,2015/04/29,3,국5,30,정지은,임흥호,휠어웨이,파워스피너,7,0,2,7,0,2,62510000,34,20000
