가나도라,한(포),암,2015/03/22,3,국4,99,휴양마,조창규,I WANT REVENGE,돈스피치,9,1,3,9,1,3,44880000,39,0
가라가라가,한,수,2015/05/12,3,국4,31,강환민,서창식,엑톤파크,키스어브선더,5,2,1,5,2,1,59000000,40,0
가속불패,한,거,2012/03/23,6,국1,18,박대흥,(주)자성실업,사이코배블,허니비,22,9,3,6,2,0,555850000,105,0
가온질주,미,수,2016/01/19,2,외4,22,안병기,김기종,BODEMEISTER,NUMERO D'ORO,0,0,0,0,0,0,0,40,0
가온챔프,한,수,2015/04/21,3,국2,22,안병기,김기종,엑톤파크,루비퀸,6,4,1,6,4,1,294750000,76,0
가온퀸,미,암,2016/04/07,2,외4,22,안병기,김기종,UNCLE MO,MULLIGATAWNY,0,0,0,0,0,0,0,40,0
가온포스,한,수,2016/04/14,2,국6,22,안병기,김기종,컬러즈플라잉,루비퀸,0,0,0,0,0,0,0,0,0
가을의전설,호,수,2013/10/16,5,외1,20,배대선,고영희,CASINO PRINCE,CHINESE WHISPERS,22,6,0,9,2,0,332350000,96,35000
가자가자,한,암,2014/03/27,4,국5,99,휴양마,조건진,제이에스홀드,미소피아,11,1,0,6,1,0,19600000,30,0
가즈아,한,수,2016/02/27,2,국6,49,지용철,장석린외1인(신치구),애니기븐새터데이,에이스드리머,1,0,0,1,0,0,2400000,0,0
갈라캣,미,수,2011/05/07,7,외3,09,강성오,이수근,D'WILDCAT,FROM BEHIND,50,1,4,10,0,0,182360000,55,22000
갈잎,한,암,2016/04/11,2,국6,37,심승태,(주)디알엠씨티,애니기븐새터데이,오피스어타이어,1,0,0,1,0,0,0,0,0
감격의순간,한,암,2014/03/30,4,국2,05,우창구,이보원,캐피털스팬딩,리버브룩,13,4,1,12,3,1,151050000,66,0
감동파티,한,암,2016/05/06,2,국미,03,최영주,김근영,어플리트어게인,프렌치내니,0,0,0,0,0,0,0,0,0
갑오원더풀,미,거,2015/02/17,3,외4,54,박천서,김평갑,티즈원더풀,UNION MADE,0,0,0,0,0,0,0,42,0
갓오브삭스,한,수,2016/02/27,2,국6,31,강환민,김창식,탐라에이스,와치미로,2,0,1,2,0,1,15600000,0,0
강대강,한,거,2013/05/10,5,국4,99,휴양마,권인택,델라고브롬,스페셜레드,30,2,4,11,0,1,110400000,40,0
강산의아침,한,수,2015/04/18,3,국6,48,김대근,최상섭,피스룰즈,와일드우드레이디,7,0,0,7,0,0,6160000,0,0
강서으뜸,한,수,2015/02/16,3,국4,42,이관호,(주)디알엠씨티,한센,그레이트브리지,10,2,1,9,2,1,45520000,36,0
강성대국,한,수,2013/02/19,5,국1,17,김점오,박양호,인그란디어,포토스톤,27,7,4,9,2,1,370800000,89,0
강철시대,한,수,2013/02/25,5,국4,23,유재길,허건호,호크윙,레드머리너,30,2,3,12,1,0,108000000,43,0
강촌의별,한,암,2015/03/16,3,국4,48,김대근,최상섭,채플로열,일루시브로시,6,3,1,6,3,1,94800000,50,0
강토마,한,거,2015/04/20,3,국2,10,정호익,김광명,테스타마타,무한신조,7,5,1,7,5,1,173700000,75,0
강한의지,한,암,2016/03/18,2,국미,45,김순근,임민영,애니기븐새터데이,오렌지트위스트,0,0,0,0,0,0,0,0,0
강호개척,한,거,2015/04/13,3,국6,99,휴양마,황철연,샤프휴머,퍼플힐즈,3,0,1,3,0,1,11600000,0,0
강화총각,한,수,2015/04/17,3,국5,99,휴양마,서운석,피스룰즈,미러클윈,7,1,0,7,1,0,37200000,31,0
개나리송,한,수,2016/02/06,2,국미,99,휴양마,(주)케이씨피,사이먼퓨어,송버드투,0,0,0,0,0,0,0,0,0
개척자,한,거,2013/03/25,5,국5,04,박윤규,박덕희,시에로골드,그레이톰보이,23,1,0,12,0,0,35740000,26,0
개천의용,한,암,2014/03/16,4,국4,33,서인석,임총재,샤프휴머,탐라비바리,13,2,1,7,0,0,65800000,36,0
갤럭시파워,한,수,2015/06/17,3,국3,07,구자흥,이관형,메니피,미스메리트,7,3,3,7,3,3,153050000,65,0
갤럽컬린,미,거,2016/03/28,2,외4,17,김점오,이성인,CURLIN,COLONA,0,0,0,0,0,0,0,40,0
거북이만세,한,암,2015/04/02,3,국5,50,박재우,강용식,와이와이와이,빅터헌터,9,0,1,8,0,1,13100000,24,0
